Age,Department,JobRole,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,Attrition_Probability,Risk_Level
38,Research & Development,Healthcare Representative,6288,4,No,1,0.045,LOW
25,Sales,Sales Representative,2096,7,No,3,0.045,LOW
38,Research & Development,Laboratory Technician,3306,0,No,3,0.045,LOW
31,Research & Development,Research Scientist,4821,5,Yes,4,0.045,LOW
26,Research & Development,Research Scientist,2368,5,No,2,0.045,LOW
26,Research & Development,Manufacturing Director,5472,8,No,4,0.045,LOW
41,Sales,Sales Executive,10447,22,Yes,3,0.045,LOW
29,Research & Development,Manufacturing Director,4262,3,No,4,0.045,LOW
41,Sales,Sales Executive,4393,5,No,2,0.045,LOW
36,Sales,Sales Executive,9980,10,No,4,0.045,LOW
55,Sales,Manager,16835,10,No,2,0.045,LOW
30,Research & Development,Laboratory Technician,2206,10,No,3,0.045,LOW
42,Research & Development,Research Scientist,5410,4,Yes,1,0.045,LOW
36,Research & Development,Manufacturing Director,5131,4,No,2,0.045,LOW
42,Research & Development,Manager,18880,22,No,3,0.045,LOW
36,Human Resources,Human Resources,3886,10,No,4,0.045,LOW
36,Research & Development,Healthcare Representative,8321,12,Yes,1,0.045,LOW
43,Research & Development,Research Director,14336,25,No,2,0.045,LOW
39,Sales,Sales Executive,4127,2,No,4,0.045,LOW
40,Sales,Manager,19833,21,No,2,0.045,LOW
30,Research & Development,Research Scientist,3761,5,No,4,0.045,LOW
29,Research & Development,Healthcare Representative,6384,7,No,3,0.045,LOW
26,Research & Development,Manufacturing Director,6397,6,No,2,0.045,LOW
44,Research & Development,Laboratory Technician,3162,5,No,3,0.045,LOW
32,Sales,Sales Executive,5396,10,No,4,0.045,LOW
27,Research & Development,Manufacturing Director,7412,9,No,1,0.045,LOW
47,Sales,Sales Executive,4960,7,No,1,0.045,LOW
38,Sales,Sales Executive,5605,8,Yes,1,0.045,LOW
35,Research & Development,Manager,11996,7,No,2,0.045,LOW
29,Research & Development,Research Scientist,2514,7,No,4,0.045,LOW
38,Sales,Sales Executive,8740,8,Yes,3,0.045,LOW
48,Sales,Manager,12504,0,No,3,0.045,LOW
37,Research & Development,Laboratory Technician,3034,18,No,1,0.045,LOW
29,Sales,Sales Executive,4649,4,No,3,0.045,LOW
48,Sales,Sales Executive,8120,2,No,2,0.045,LOW
49,Research & Development,Healthcare Representative,10965,5,No,3,0.045,LOW
49,Research & Development,Research Director,18665,3,Yes,1,0.045,LOW
55,Research & Development,Manager,16756,9,No,1,0.045,LOW
34,Sales,Sales Executive,7083,10,Yes,3,0.045,LOW
27,Sales,Sales Executive,5071,6,No,4,0.045,LOW
35,Sales,Sales Representative,2572,3,No,4,0.045,LOW
34,Research & Development,Laboratory Technician,3294,5,No,2,0.045,LOW
28,Sales,Sales Executive,4724,5,No,1,0.045,LOW
29,Research & Development,Research Scientist,2340,6,No,4,0.045,LOW
37,Research & Development,Research Director,12185,10,Yes,4,0.045,LOW
35,Research & Development,Research Scientist,3506,3,Yes,3,0.045,LOW
30,Research & Development,Manufacturing Director,4695,8,Yes,3,0.045,LOW
46,Sales,Manager,18789,11,No,2,0.045,LOW
42,Research & Development,Manager,19232,22,No,4,0.045,LOW
36,Sales,Sales Executive,6653,1,No,4,0.045,LOW
32,Sales,Sales Representative,3931,4,No,2,0.045,LOW
60,Sales,Sales Executive,5220,11,Yes,4,0.045,LOW
57,Sales,Manager,14118,1,No,4,0.045,LOW
30,Sales,Sales Executive,8412,9,No,1,0.045,LOW
40,Research & Development,Research Scientist,2809,2,No,3,0.045,LOW
30,Research & Development,Laboratory Technician,2097,5,No,4,0.04,LOW
43,Sales,Manager,16064,17,Yes,4,0.04,LOW
27,Sales,Sales Executive,8726,9,No,3,0.04,LOW
39,Research & Development,Manager,19272,21,No,4,0.04,LOW
33,Sales,Sales Executive,5487,10,No,3,0.04,LOW
44,Research & Development,Healthcare Representative,5033,2,No,1,0.04,LOW
35,Research & Development,Research Scientist,2194,3,No,1,0.04,LOW
43,Sales,Sales Executive,5675,7,No,4,0.04,LOW
38,Research & Development,Research Scientist,5329,13,Yes,4,0.04,LOW
30,Research & Development,Laboratory Technician,5126,10,Yes,4,0.04,LOW
37,Human Resources,Human Resources,4071,10,No,2,0.04,LOW
39,Research & Development,Manager,19197,21,Yes,3,0.04,LOW
33,Sales,Manager,17444,10,No,3,0.04,LOW
43,Research & Development,Healthcare Representative,4522,5,Yes,3,0.04,LOW
54,Research & Development,Research Director,19406,4,No,1,0.04,LOW
46,Research & Development,Research Director,19328,2,Yes,4,0.04,LOW
37,Sales,Sales Executive,4189,5,No,2,0.04,LOW
36,Research & Development,Research Scientist,3692,11,No,2,0.04,LOW
45,Sales,Sales Representative,6632,8,No,3,0.04,LOW
34,Sales,Sales Executive,4001,15,Yes,3,0.04,LOW
32,Sales,Sales Executive,5010,11,No,3,0.04,LOW
30,Research & Development,Healthcare Representative,4152,11,No,4,0.04,LOW
51,Research & Development,Laboratory Technician,2075,4,No,4,0.04,LOW
30,Research & Development,Research Scientist,4968,9,No,1,0.04,LOW
46,Sales,Sales Executive,10368,10,Yes,4,0.04,LOW
54,Human Resources,Manager,17328,5,Yes,4,0.04,LOW
51,Research & Development,Healthcare Representative,7484,13,No,1,0.04,LOW
25,Research & Development,Research Scientist,2889,2,No,4,0.04,LOW
58,Research & Development,Healthcare Representative,5660,5,Yes,3,0.04,LOW
51,Research & Development,Manufacturing Director,5482,4,No,2,0.04,LOW
36,Research & Development,Healthcare Representative,6842,5,No,1,0.04,LOW
27,Research & Development,Research Scientist,2580,4,No,4,0.04,LOW
39,Research & Development,Manufacturing Director,10880,21,Yes,1,0.04,LOW
36,Research & Development,Manufacturing Director,5410,16,Yes,2,0.04,LOW
34,Human Resources,Human Resources,4490,10,No,2,0.04,LOW
35,Sales,Sales Executive,8789,10,No,3,0.04,LOW
29,Sales,Sales Executive,7918,11,No,4,0.04,LOW
41,Sales,Manager,13591,1,Yes,4,0.04,LOW
40,Research & Development,Manufacturing Director,10435,18,No,3,0.04,LOW
45,Research & Development,Research Scientist,3452,6,No,4,0.04,LOW
27,Research & Development,Research Scientist,2045,4,No,4,0.04,LOW
36,Research & Development,Manufacturing Director,8847,3,Yes,2,0.04,LOW
32,Research & Development,Research Scientist,6322,6,Yes,4,0.04,LOW
43,Research & Development,Laboratory Technician,4876,6,No,2,0.04,LOW
33,Research & Development,Laboratory Technician,5207,15,Yes,3,0.04,LOW
29,Sales,Sales Executive,8268,7,Yes,2,0.04,LOW
31,Research & Development,Manufacturing Director,7143,11,Yes,4,0.04,LOW
34,Research & Development,Healthcare Representative,7756,6,No,4,0.04,LOW
35,Research & Development,Healthcare Representative,8606,11,No,2,0.04,LOW
57,Research & Development,Healthcare Representative,9439,5,Yes,4,0.04,LOW
50,Research & Development,Manager,17856,2,No,1,0.04,LOW
32,Sales,Sales Executive,8998,9,No,4,0.04,LOW
42,Research & Development,Healthcare Representative,6781,1,No,4,0.04,LOW
42,Research & Development,Research Director,15992,1,No,4,0.04,LOW
23,Research & Development,Research Scientist,2904,4,No,4,0.04,LOW
50,Sales,Sales Representative,3875,2,No,2,0.04,LOW
29,Research & Development,Research Scientist,3291,7,No,2,0.04,LOW
43,Research & Development,Manufacturing Director,10820,8,No,1,0.04,LOW
48,Sales,Sales Executive,5486,2,No,1,0.04,LOW
24,Sales,Sales Executive,4162,5,Yes,3,0.04,LOW
34,Research & Development,Research Scientist,2996,4,No,1,0.04,LOW
31,Research & Development,Research Director,16422,3,No,2,0.04,LOW
35,Research & Development,Manufacturing Director,10274,7,No,2,0.04,LOW
56,Research & Development,Manufacturing Director,13402,19,Yes,2,0.04,LOW
27,Sales,Sales Executive,4342,4,No,4,0.04,LOW
51,Research & Development,Research Scientist,2723,1,No,4,0.04,LOW
34,Research & Development,Healthcare Representative,6142,5,No,3,0.04,LOW
40,Research & Development,Research Scientist,3544,4,No,3,0.04,LOW
39,Research & Development,Manufacturing Director,4534,8,No,3,0.04,LOW
38,Sales,Sales Executive,4440,15,No,2,0.04,LOW
24,Research & Development,Healthcare Representative,4617,4,No,3,0.04,LOW
42,Research & Development,Laboratory Technician,5231,5,Yes,4,0.04,LOW
39,Research & Development,Healthcare Representative,9991,7,No,1,0.04,LOW
38,Research & Development,Manufacturing Director,5321,8,No,3,0.035,LOW
34,Research & Development,Laboratory Technician,2661,2,No,4,0.035,LOW
23,Research & Development,Laboratory Technician,2647,5,No,4,0.035,LOW
36,Sales,Sales Executive,7644,9,No,4,0.035,LOW
35,Research & Development,Healthcare Representative,5689,10,Yes,3,0.035,LOW
28,Research & Development,Laboratory Technician,6674,9,No,4,0.035,LOW
31,Research & Development,Manufacturing Director,4148,4,No,1,0.035,LOW
27,Sales,Sales Executive,6349,5,Yes,2,0.035,LOW
28,Sales,Sales Executive,4908,4,No,4,0.035,LOW
47,Sales,Sales Executive,4537,7,Yes,4,0.035,LOW
47,Research & Development,Research Scientist,5467,8,No,2,0.035,LOW
27,Research & Development,Research Scientist,2187,5,No,3,0.035,LOW
31,Sales,Sales Executive,5460,7,No,4,0.035,LOW
36,Human Resources,Human Resources,2143,5,No,2,0.035,LOW
60,Research & Development,Healthcare Representative,10883,1,No,4,0.035,LOW
36,Research & Development,Healthcare Representative,5347,3,No,3,0.035,LOW
59,Sales,Manager,11904,6,Yes,4,0.035,LOW
34,Sales,Sales Executive,9725,15,No,4,0.035,LOW
51,Sales,Manager,19847,29,Yes,2,0.035,LOW
37,Sales,Sales Representative,2793,9,No,4,0.035,LOW
36,Research & Development,Laboratory Technician,5914,13,No,2,0.035,LOW
55,Research & Development,Healthcare Representative,13577,33,Yes,2,0.035,LOW
47,Sales,Manager,15972,3,No,2,0.035,LOW
46,Research & Development,Research Director,17861,3,No,3,0.035,LOW
28,Research & Development,Research Scientist,2144,5,No,3,0.035,LOW
58,Sales,Manager,17875,1,Yes,4,0.035,LOW
33,Sales,Sales Executive,8380,9,Yes,3,0.035,LOW
39,Research & Development,Manufacturing Director,5042,9,No,3,0.035,LOW
32,Research & Development,Research Scientist,3312,3,No,4,0.035,LOW
35,Research & Development,Laboratory Technician,3407,10,No,3,0.035,LOW
29,Research & Development,Healthcare Representative,8853,6,No,4,0.035,LOW
41,Research & Development,Manager,17181,7,No,1,0.035,LOW
30,Research & Development,Research Scientist,3204,3,No,1,0.035,LOW
35,Research & Development,Research Scientist,6646,17,No,4,0.035,LOW
42,Sales,Sales Executive,4907,20,No,3,0.035,LOW
30,Sales,Sales Executive,7140,7,No,1,0.035,LOW
31,Research & Development,Healthcare Representative,6812,10,No,1,0.035,LOW
34,Sales,Sales Executive,6274,6,No,4,0.035,LOW
27,Research & Development,Laboratory Technician,2099,5,No,1,0.035,LOW
40,Research & Development,Healthcare Representative,6377,12,No,3,0.035,LOW
51,Research & Development,Research Director,12490,10,No,2,0.035,LOW
27,Sales,Sales Executive,9981,7,No,3,0.035,LOW
30,Research & Development,Manufacturing Director,8474,11,No,3,0.035,LOW
50,Research & Development,Healthcare Representative,10496,4,No,4,0.035,LOW
30,Research & Development,Research Scientist,3579,11,Yes,2,0.035,LOW
24,Sales,Sales Executive,4999,3,No,3,0.035,LOW
50,Research & Development,Research Director,19144,10,No,2,0.035,LOW
35,Sales,Sales Executive,8966,7,Yes,1,0.035,LOW
46,Research & Development,Research Director,19081,4,No,2,0.035,LOW
36,Sales,Sales Executive,7596,10,No,3,0.035,LOW
55,Research & Development,Manager,16659,5,Yes,4,0.035,LOW
40,Research & Development,Laboratory Technician,3377,4,No,1,0.035,LOW
39,Research & Development,Research Director,13464,4,No,3,0.035,LOW
33,Research & Development,Research Scientist,3143,10,No,1,0.035,LOW
58,Sales,Manager,16291,16,No,2,0.035,LOW
32,Research & Development,Laboratory Technician,2176,6,No,1,0.035,LOW
26,Sales,Sales Executive,5296,8,No,3,0.035,LOW
31,Research & Development,Laboratory Technician,5915,7,No,4,0.035,LOW
37,Research & Development,Research Scientist,4284,5,Yes,1,0.035,LOW
39,Research & Development,Research Scientist,3902,2,No,4,0.035,LOW
34,Research & Development,Healthcare Representative,8621,8,No,2,0.035,LOW
41,Research & Development,Research Scientist,5467,6,Yes,4,0.035,LOW
29,Research & Development,Laboratory Technician,3180,3,No,2,0.035,LOW
55,Research & Development,Healthcare Representative,4035,3,Yes,3,0.035,LOW
34,Sales,Sales Executive,6500,3,No,1,0.035,LOW
45,Research & Development,Manager,18061,0,No,2,0.035,LOW
29,Research & Development,Manufacturing Director,4319,10,No,3,0.035,LOW
36,Research & Development,Research Director,11713,8,No,1,0.035,LOW
38,Human Resources,Human Resources,2844,7,No,3,0.035,LOW
32,Research & Development,Research Scientist,5055,7,No,4,0.035,LOW
31,Sales,Sales Executive,7547,7,No,4,0.035,LOW
44,Research & Development,Research Scientist,3420,5,No,2,0.035,LOW
34,Research & Development,Healthcare Representative,5343,13,No,1,0.035,LOW
34,Research & Development,Manufacturing Director,4033,3,No,3,0.035,LOW
33,Research & Development,Manager,11878,10,No,2,0.035,LOW
28,Human Resources,Human Resources,4936,5,No,4,0.035,LOW
40,Research & Development,Research Director,13757,9,No,2,0.035,LOW
46,Research & Development,Manufacturing Director,8578,9,No,4,0.035,LOW
42,Research & Development,Research Scientist,2936,6,No,3,0.035,LOW
29,Research & Development,Laboratory Technician,3812,11,No,4,0.035,LOW
38,Sales,Sales Representative,2899,2,No,2,0.035,LOW
36,Research & Development,Laboratory Technician,2571,5,No,4,0.035,LOW
32,Research & Development,Laboratory Technician,5309,10,No,4,0.035,LOW
38,Sales,Sales Executive,6893,7,No,1,0.035,LOW
42,Research & Development,Research Scientist,4332,20,No,3,0.035,LOW
42,Sales,Sales Executive,13525,20,No,2,0.035,LOW
31,Sales,Sales Executive,5476,10,No,4,0.035,LOW
33,Sales,Sales Executive,6146,7,No,2,0.035,LOW
29,Sales,Sales Executive,4187,10,Yes,2,0.035,LOW
26,Research & Development,Research Scientist,2886,3,No,4,0.035,LOW
36,Research & Development,Manufacturing Director,10252,7,Yes,1,0.03,LOW
43,Sales,Manager,16959,25,Yes,4,0.03,LOW
44,Research & Development,Healthcare Representative,10248,22,No,4,0.03,LOW
29,Research & Development,Healthcare Representative,5373,5,No,1,0.03,LOW
35,Sales,Sales Executive,5204,10,Yes,4,0.03,LOW
36,Research & Development,Laboratory Technician,5674,9,No,2,0.03,LOW
41,Sales,Sales Executive,8189,9,Yes,3,0.03,LOW
28,Sales,Sales Executive,8463,5,No,1,0.03,LOW
35,Research & Development,Research Scientist,2859,6,No,3,0.03,LOW
29,Sales,Sales Executive,6931,3,No,4,0.03,LOW
31,Sales,Sales Executive,10793,13,No,4,0.03,LOW
40,Research & Development,Research Scientist,4661,9,No,4,0.03,LOW
30,Research & Development,Manager,11916,9,Yes,1,0.03,LOW
50,Research & Development,Research Director,16880,3,Yes,1,0.03,LOW
46,Sales,Manager,18947,2,No,1,0.03,LOW
58,Research & Development,Research Director,15787,2,Yes,3,0.03,LOW
35,Research & Development,Manufacturing Director,10685,17,Yes,3,0.03,LOW
41,Research & Development,Research Scientist,2451,9,No,3,0.03,LOW
38,Sales,Sales Executive,8686,8,No,4,0.03,LOW
36,Research & Development,Research Scientist,6962,1,Yes,2,0.03,LOW
30,Sales,Sales Executive,6578,10,No,3,0.03,LOW
35,Research & Development,Laboratory Technician,2258,8,No,3,0.03,LOW
49,Research & Development,Laboratory Technician,7403,26,No,2,0.03,LOW
39,Research & Development,Manager,17068,21,Yes,1,0.03,LOW
32,Research & Development,Manufacturing Director,6162,9,Yes,4,0.03,LOW
31,Research & Development,Manufacturing Director,4306,13,No,1,0.03,LOW
27,Research & Development,Research Scientist,2517,5,No,3,0.03,LOW
29,Research & Development,Laboratory Technician,3131,10,No,4,0.03,LOW
47,Research & Development,Research Scientist,3420,6,No,4,0.03,LOW
35,Research & Development,Laboratory Technician,5363,9,No,4,0.03,LOW
34,Research & Development,Healthcare Representative,6687,14,No,4,0.03,LOW
51,Sales,Sales Executive,4936,7,No,4,0.03,LOW
32,Research & Development,Laboratory Technician,2370,8,No,2,0.03,LOW
39,Sales,Sales Executive,7880,8,No,3,0.03,LOW
30,Sales,Sales Executive,7264,8,No,3,0.03,LOW
36,Sales,Sales Executive,5079,7,No,4,0.03,LOW
33,Research & Development,Research Scientist,3452,3,No,4,0.03,LOW
36,Research & Development,Research Scientist,2543,2,No,3,0.03,LOW
30,Sales,Sales Executive,6577,5,No,3,0.03,LOW
40,Sales,Sales Executive,5715,5,No,2,0.03,LOW
52,Research & Development,Manufacturing Director,13247,5,Yes,3,0.03,LOW
36,Sales,Sales Executive,5673,10,Yes,3,0.03,LOW
55,Research & Development,Research Director,14732,7,No,4,0.03,LOW
34,Sales,Sales Executive,8103,4,Yes,4,0.03,LOW
31,Sales,Sales Executive,6583,5,Yes,4,0.03,LOW
40,Research & Development,Healthcare Representative,4244,8,No,2,0.03,LOW
35,Sales,Sales Executive,7295,10,No,2,0.03,LOW
48,Research & Development,Healthcare Representative,10999,15,No,3,0.03,LOW
46,Sales,Sales Executive,9071,3,Yes,4,0.03,LOW
43,Research & Development,Healthcare Representative,9985,1,No,1,0.03,LOW
30,Research & Development,Research Scientist,2862,10,No,4,0.03,LOW
46,Research & Development,Healthcare Representative,5562,10,No,2,0.03,LOW
31,Research & Development,Research Director,11031,11,No,3,0.03,LOW
41,Sales,Sales Executive,8938,5,No,2,0.03,LOW
29,Research & Development,Manufacturing Director,9980,10,No,1,0.03,LOW
32,Sales,Sales Executive,10422,14,No,4,0.03,LOW
30,Research & Development,Laboratory Technician,3748,12,No,2,0.03,LOW
44,Research & Development,Research Scientist,4541,20,No,4,0.03,LOW
34,Research & Development,Research Scientist,5747,15,Yes,4,0.03,LOW
39,Research & Development,Manufacturing Director,5151,10,No,1,0.03,LOW
36,Research & Development,Laboratory Technician,2153,8,No,4,0.03,LOW
38,Research & Development,Manufacturing Director,6261,7,No,4,0.03,LOW
31,Research & Development,Laboratory Technician,3477,5,No,3,0.03,LOW
44,Research & Development,Manager,19513,2,Yes,4,0.03,LOW
43,Research & Development,Research Director,17159,4,No,1,0.03,LOW
55,Research & Development,Research Director,18722,24,No,2,0.03,LOW
30,Sales,Sales Executive,4779,3,No,1,0.03,LOW
40,Research & Development,Healthcare Representative,4876,3,No,4,0.03,LOW
46,Research & Development,Healthcare Representative,9396,4,No,1,0.03,LOW
48,Research & Development,Healthcare Representative,4240,2,No,3,0.03,LOW
50,Research & Development,Research Director,18740,27,Yes,3,0.03,LOW
33,Research & Development,Research Director,11691,13,No,3,0.03,LOW
53,Research & Development,Manufacturing Director,12965,3,Yes,3,0.03,LOW
45,Research & Development,Research Scientist,2132,5,No,4,0.03,LOW
28,Research & Development,Laboratory Technician,3196,6,No,1,0.03,LOW
45,Research & Development,Healthcare Representative,7441,10,No,2,0.03,LOW
33,Human Resources,Human Resources,3600,5,No,3,0.03,LOW
40,Human Resources,Manager,16437,21,Yes,4,0.03,LOW
30,Research & Development,Laboratory Technician,2720,5,No,4,0.03,LOW
38,Sales,Sales Executive,9924,9,No,2,0.03,LOW
50,Research & Development,Healthcare Representative,11245,30,Yes,3,0.03,LOW
51,Sales,Manager,16307,20,No,3,0.03,LOW
44,Research & Development,Research Director,19049,22,Yes,4,0.03,LOW
54,Human Resources,Human Resources,10725,9,No,2,0.03,LOW
30,Research & Development,Research Director,11416,8,Yes,1,0.03,LOW
57,Research & Development,Research Scientist,4900,12,No,3,0.025,LOW
42,Research & Development,Laboratory Technician,3673,12,No,4,0.025,LOW
37,Research & Development,Healthcare Representative,5731,6,No,4,0.025,LOW
40,Research & Development,Research Scientist,2345,3,No,3,0.025,LOW
54,Research & Development,Research Scientist,6854,7,No,4,0.025,LOW
56,Research & Development,Manufacturing Director,7260,6,No,4,0.025,LOW
36,Research & Development,Research Scientist,4678,6,No,4,0.025,LOW
32,Research & Development,Laboratory Technician,2314,3,No,4,0.025,LOW
52,Research & Development,Manufacturing Director,13826,9,No,4,0.025,LOW
41,Research & Development,Manufacturing Director,13570,20,No,2,0.025,LOW
49,Research & Development,Manufacturing Director,6567,15,No,1,0.025,LOW
32,Research & Development,Research Scientist,4998,8,Yes,3,0.025,LOW
45,Research & Development,Manager,19202,24,No,4,0.025,LOW
33,Research & Development,Research Scientist,2781,14,No,4,0.025,LOW
40,Sales,Manager,18041,20,No,3,0.025,LOW
35,Sales,Sales Executive,8020,11,No,2,0.025,LOW
32,Sales,Sales Executive,5484,13,No,3,0.025,LOW
43,Research & Development,Laboratory Technician,2455,8,No,4,0.025,LOW
35,Research & Development,Healthcare Representative,4014,10,Yes,4,0.025,LOW
45,Research & Development,Research Director,13245,0,Yes,1,0.025,LOW
32,Sales,Sales Executive,6524,10,No,2,0.025,LOW
34,Research & Development,Healthcare Representative,8500,9,No,4,0.025,LOW
32,Research & Development,Research Scientist,5175,5,No,3,0.025,LOW
33,Research & Development,Healthcare Representative,7119,3,No,4,0.025,LOW
42,Research & Development,Manufacturing Director,6062,4,Yes,4,0.025,LOW
36,Research & Development,Healthcare Representative,6586,16,Yes,4,0.025,LOW
37,Research & Development,Research Scientist,4449,13,Yes,3,0.025,LOW
55,Research & Development,Manager,14756,5,Yes,3,0.025,LOW
31,Research & Development,Healthcare Representative,5855,9,Yes,4,0.025,LOW
47,Research & Development,Research Director,17169,20,No,3,0.025,LOW
57,Research & Development,Healthcare Representative,6755,3,No,3,0.025,LOW
46,Research & Development,Manufacturing Director,5258,1,No,3,0.025,LOW
45,Research & Development,Manufacturing Director,6434,3,No,3,0.025,LOW
36,Research & Development,Laboratory Technician,5810,10,No,4,0.025,LOW
50,Research & Development,Manager,19926,5,No,2,0.025,LOW
42,Research & Development,Manager,18430,24,No,4,0.025,LOW
33,Research & Development,Manufacturing Director,4320,5,No,2,0.025,LOW
29,Research & Development,Healthcare Representative,9715,7,No,1,0.025,LOW
42,Research & Development,Healthcare Representative,10124,20,Yes,4,0.025,LOW
40,Research & Development,Healthcare Representative,13503,22,No,2,0.025,LOW
28,Sales,Sales Executive,4221,5,No,3,0.025,LOW
38,Research & Development,Laboratory Technician,3702,5,No,3,0.025,LOW
48,Sales,Sales Executive,6439,8,No,3,0.025,LOW
40,Research & Development,Manager,16823,19,No,1,0.025,LOW
46,Sales,Sales Executive,13225,19,No,1,0.025,LOW
37,Research & Development,Research Director,13603,5,Yes,4,0.025,LOW
49,Research & Development,Healthcare Representative,6651,3,No,3,0.025,LOW
28,Research & Development,Research Scientist,2713,5,No,4,0.025,LOW
45,Research & Development,Research Scientist,9724,1,No,1,0.025,LOW
32,Research & Development,Manager,11244,5,No,4,0.025,LOW
30,Research & Development,Laboratory Technician,4627,9,No,4,0.025,LOW
53,Sales,Manager,14852,17,No,3,0.025,LOW
35,Sales,Sales Executive,4312,15,No,1,0.025,LOW
28,Research & Development,Laboratory Technician,4558,10,No,1,0.025,LOW
38,Sales,Sales Executive,4028,7,No,4,0.025,LOW
27,Sales,Sales Executive,4647,6,Yes,4,0.025,LOW
40,Research & Development,Healthcare Representative,10322,11,No,4,0.025,LOW
44,Sales,Manager,18213,22,No,2,0.025,LOW
27,Research & Development,Manufacturing Director,4227,3,No,4,0.025,LOW
49,Research & Development,Manufacturing Director,6804,7,Yes,4,0.025,LOW
34,Sales,Sales Executive,5714,6,No,3,0.025,LOW
51,Research & Development,Healthcare Representative,13734,7,No,2,0.025,LOW
32,Sales,Sales Representative,2269,2,No,2,0.025,LOW
35,Sales,Sales Executive,5561,5,No,1,0.025,LOW
53,Research & Development,Manufacturing Director,4450,4,No,1,0.025,LOW
35,Research & Development,Research Scientist,2559,6,No,1,0.025,LOW
42,Research & Development,Manager,19613,1,No,4,0.025,LOW
45,Research & Development,Manufacturing Director,5770,10,No,4,0.025,LOW
45,Human Resources,Human Resources,9756,5,No,3,0.025,LOW
43,Research & Development,Research Director,16627,1,Yes,4,0.025,LOW
43,Research & Development,Laboratory Technician,5679,8,Yes,3,0.025,LOW
25,Research & Development,Manufacturing Director,5206,7,No,3,0.025,LOW
35,Research & Development,Manufacturing Director,6883,7,No,3,0.025,LOW
39,Research & Development,Laboratory Technician,6472,9,Yes,4,0.025,LOW
59,Human Resources,Manager,18844,3,No,4,0.025,LOW
44,Research & Development,Healthcare Representative,7879,8,Yes,4,0.025,LOW
27,Sales,Sales Executive,6214,8,No,2,0.025,LOW
50,Research & Development,Manager,17924,31,No,1,0.025,LOW
28,Sales,Sales Executive,6834,7,Yes,4,0.025,LOW
38,Research & Development,Research Director,12061,10,No,2,0.025,LOW
47,Human Resources,Manager,19658,5,No,3,0.025,LOW
50,Research & Development,Research Director,18172,8,Yes,2,0.025,LOW
38,Research & Development,Research Director,13206,18,No,3,0.025,LOW
40,Research & Development,Research Scientist,2001,5,No,3,0.025,LOW
53,Sales,Manager,15427,25,No,4,0.025,LOW
39,Research & Development,Laboratory Technician,3069,10,No,3,0.025,LOW
35,Research & Development,Manufacturing Director,10903,13,No,2,0.025,LOW
50,Research & Development,Manager,17046,27,No,3,0.025,LOW
48,Sales,Sales Executive,4051,9,No,4,0.025,LOW
34,Sales,Sales Executive,8628,8,No,3,0.025,LOW
31,Research & Development,Research Scientist,2911,5,No,3,0.02,LOW
24,Research & Development,Manufacturing Director,4011,4,No,3,0.02,LOW
34,Sales,Sales Executive,6712,8,No,3,0.02,LOW
38,Research & Development,Research Scientist,4735,13,No,4,0.02,LOW
38,Research & Development,Manufacturing Director,9526,9,No,3,0.02,LOW
36,Research & Development,Healthcare Representative,5237,7,No,3,0.02,LOW
22,Research & Development,Research Scientist,3375,3,No,3,0.02,LOW
48,Research & Development,Manager,15402,3,No,1,0.02,LOW
31,Research & Development,Manufacturing Director,4345,5,No,3,0.02,LOW
49,Research & Development,Research Director,19502,31,Yes,3,0.02,LOW
29,Research & Development,Research Scientist,3760,3,No,4,0.02,LOW
33,Research & Development,Research Scientist,3055,9,No,2,0.02,LOW
30,Human Resources,Human Resources,6347,11,Yes,4,0.02,LOW
31,Sales,Sales Executive,8346,5,No,3,0.02,LOW
28,Research & Development,Research Scientist,3310,5,No,4,0.02,LOW
35,Sales,Sales Executive,4601,5,No,3,0.02,LOW
41,Research & Development,Research Scientist,3376,10,No,3,0.02,LOW
29,Research & Development,Healthcare Representative,6623,6,Yes,4,0.02,LOW
55,Research & Development,Manufacturing Director,10976,3,No,2,0.02,LOW
49,Research & Development,Manager,18711,1,No,3,0.02,LOW
54,Research & Development,Manufacturing Director,10502,5,No,3,0.02,LOW
49,Sales,Sales Executive,4507,5,No,4,0.02,LOW
30,Research & Development,Healthcare Representative,5294,7,No,3,0.02,LOW
36,Research & Development,Laboratory Technician,5562,3,Yes,1,0.02,LOW
40,Sales,Sales Executive,4639,5,No,1,0.02,LOW
26,Research & Development,Research Scientist,2007,5,No,3,0.02,LOW
37,Research & Development,Manufacturing Director,5768,4,No,3,0.02,LOW
46,Research & Development,Manufacturing Director,10845,8,No,3,0.02,LOW
34,Human Resources,Human Resources,3737,3,No,4,0.02,LOW
34,Research & Development,Research Scientist,4809,16,No,3,0.02,LOW
24,Research & Development,Laboratory Technician,2774,5,No,3,0.02,LOW
41,Research & Development,Research Director,19973,21,No,3,0.02,LOW
54,Research & Development,Manufacturing Director,10739,10,No,3,0.02,LOW
35,Research & Development,Manufacturing Director,10221,8,No,3,0.02,LOW
31,Research & Development,Laboratory Technician,2218,4,No,1,0.02,LOW
30,Research & Development,Manufacturing Director,9957,6,No,1,0.02,LOW
45,Research & Development,Laboratory Technician,2270,5,No,4,0.02,LOW
52,Research & Development,Laboratory Technician,3149,5,No,3,0.02,LOW
47,Research & Development,Manager,16752,26,Yes,4,0.02,LOW
42,Research & Development,Manufacturing Director,5265,5,No,3,0.02,LOW
36,Sales,Sales Executive,5647,3,No,1,0.02,LOW
